Card,00 MoonBeam,01 Fragmentize,02 SkullBash,03 RazorWind,04 WhipOfLightning,05 ClanshipBarrage,06 PurifyingBlast,07 PsychicShackles,08 FlakShot,09 CosmicHaymaker,10 ChainOfVengeance,11 MirrorForce,12 CelestialStatic,13 GuardBreak,14 BarbedMorningstar,15 BlazingInferno,16 AcidDrench,17 DecayingStrike,18 FusionBomb,19 GrimShadow,20 ThrivingPlague,21 Radioactivity,22 RavenousSwarm,23 RuinousRain,24 CorrosiveBubbles,25 Maelstrom,26 Amplify,27 SandsOfTime,28 ElectroZap,29 CrushingInstinct,30 InsanityVoid,31 RancidGas,32 InspiringForce,33 SoulFire,34 VictoryMarch,35 PrismaticRift,36 AncestralFavor,37 GraspingVines,38 TotemOfPower,39 TeamTactics,40 SkeletalSmash,41 AstralEcho,42 RadiantKaleidoscope,43 BattleDrums
00 MoonBeam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01 Fragmentize,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02 SkullBash,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03 RazorWind,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
04 WhipOfLightning,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
05 ClanshipBarrage,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06 PurifyingBlast,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
07 PsychicShackles,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08 FlakShot,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09 CosmicHaymaker,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
